question,answer,id
ভোটার এলাকায় নিজের বাড়ি না থাকলে কি ভোটার হওয়া যাবে?,"আপনি যদি বাংলাদেশের প্রকৃত নাগরিক হন এবং আপনার যদি অনলাইন জন্ম সনদ থাকে তাহলে আপনি বর্তমান অথবা স্থায়ী যে কোন ঠিকানায় ভোটার হতে পারবেন।
  তবে আপনি ভাড়াটিয়া হয়ে থাকলে অতিরিক্ত হিসাবে ভাড়াটিয়া চুক্তিপত্র/ সংশ্লিষ্ট এলাকায় নাগরিকত্ব সনদ/ বাড়িওয়ালার জাতীয় পরিচয়পত্র ও বিদ্যুত বিলের কপি দাখিল করতে হবে।  
 ভূমিহীন হয়ে থাকলে “ভূমিহীন সনদ” সংগ্রহপূর্বক সংশ্লিষ্ট এলাকায় ভোটার হওয়ার জন্য আবেদন করতে পারবেন।",37
অনলাইনে বর্তমান ঠিকানা পরিবর্তন করতে কী ধরনের প্রমাণপত্র বা ডকুমেন্ট আপলোড করতে হয়?,present_permanent_address_difference,38
একটি ব্যক্তি একাধিক এনআআইডি রাখতে পারবে কি না?,fingerprint_update_delay_problem,39
কাগজপত্র উপজেলা অফিসে জমা দেওয়ার ৭ দিনের মধ্যে ছবি তোলার জন্য এস এম এস আসে?,document_submission_photo_sms_timing,40
আমার নামের কিছু আংশিক পরিবর্তন করতে হবে ও ভোটার এলাকা স্থানান্তর করতে চাই?,migration_permanent_present_address_confusion,41
এনআইডি অনলাইন পোর্টালে রেজিষ্ট্রেশন করবো কিভাবে?,"অনলাইন পোর্টালের মাধ্যমে জাতীয় পরিচয় পত্র সংশোধন, স্থায়ী ঠিকানা পরিবর্তন, হারানো/ নষ্ট এনআইডি কার্ড পেতে ভিজিট করুন services.nidw.gov.bd/ অতঃপর “রেজিস্টার করুন” বাটনে ক্লিক করে প্রয়োজনীয় তথ্য সরবরাহ করুন। নির্দেশনা মোতাবেক আপনার ফেস ভেরিফিকেশনের মাধ্যমে রেজিস্ট্রেশন কার্যক্রম সম্পন্ন করুন।",42
আমার ম্যাচ ফাউন্ড ঢাকায় আসা লাগবে কেনো?,disability_foot_prints_afis_alternative,43
"আঙ্গুলের ছাপ আপডেট করতে দিয়েছিলাম, অনেক দিন হলো। আর কতোদিন লাগবে?",profession_government_to_housewife_documents,44
বিদেশে থাকাকালীন এবং অন্য দেশের নাগরিক হলে আমি কি বাংলাদেশের ভোটার তালিকায় থাকবো?,dual_citizenship_multiple_country_implications,45
"অপারেটর ভুল আপলডের কারনে তথ্য পরিবর্তন করতে হলে আমি কোন আবেদন ফি দিব, যাখন ফরম-০২ তে আমার তথ্য ঠিক ছিল?",operator_error_fee_responsibility,46
একই তথ্য কতবার সংশোধন/ পরিবর্তন করা যায়?,জাতীয় তথ্য ভান্ডারে রক্ষিত তথ্য প্রয়োজনীয় দলিলাদির ভিত্তিতে সাধারণত একবার সংশোধন করা হয়। তবে উপযুক্ত দলিলাদি উপস্থাপন সাপেক্ষে পুনরায় আবেদন করলে কর্তৃপক্ষ যাচাই-বাছাই করে সিদ্ধান্ত গ্রহণ করতে পারে।,47
"নতুন ভোটারের জন্য আবেদন করেছি, কিন্তু জন্ম নিবন্ধন অন্য ঠিকানায়, কি করণীয়?",নতুন ভোটার আবেদনের জন্য অনলাইন জন্ম সনদে উল্লেখিত বর্তমান ও স্থায়ী যে কোন একটি ঠিকানা ব্যবহার করা যাবে।,48
ভুলবশত অন্য কারো এনআইডিতে রি-ইস্যুর টাকা পেমেন্ট করেছি। এখন সমাধান কি?,reissue_wrong_nid_payment_no_refund,49
স্থানান্তরের জন্য কোনো ফিশ না থাকলেও উপজেলা অফিস কেন আমার কাছ থেকে ১০৫ টাকা নিচ্ছে?,bribery_complaint_procedure,50
