question,tag,answer
স্মার্ট কার্ড তুলতে কি ফি দেওয়া লাগবে?,smart_card_collection_fees,পূর্বে প্রদানকৃত লেমিনেটেড পেপার জাতীয় পরিচয়পত্রটি জমা দিতে হবে।
"একবার সংশোধন আবেদন বাতিল করা হয়েছে, পুনরায় আবেদন করতে কি আবার ফি জমা দিতে হবে?",card_correction_request_failed_query_regarding_repayment_fees,প্রতিবার আবেদনের ক্ষেত্রে নির্ধারিত পরিমাণ ফি জমা দিতে হয়।
সংশোধন আবেদন বাতিল হয়ে গেলে কি টাকা ফেরত পাবো?,card_correction_request_failed_query_regarding_refund_fees,"দুঃখিত, আপনার জমাকৃত আবেদনের বিপরীতে ফি ফেরত পাওয়ার সুযোগ নেই।"
"সংশোধোনের জন্য ফি জমা দিয়েছি, আবেদন করতে চাচ্ছি না, এখন আমি কিভাবে টাকা ফেরত পেতে পারি?",card_correction_request_canceled_by_consumer_regarding_refund_fees,"দুঃখিত, এনআইডি ওয়ালেটে একবার ফি জমা হয়ে গেলে সেটি ফেরত পাওয়ার সুযোগ নেই। তবে জমাকৃত ফি ব্যবহৃত না হয়ে থাকলে পরবর্তীতে একই জাতীয় পরিচয়পত্রের বিপরীতে ব্যবহার করা যাবে।"
ফিস জমা দিতে কোন নম্বর (১০/১৩/১৭ ডিজিট) ব্যবহার করবো?,card_correction_fees_payment_reference_nid_number_query,আপনি ১৭ অথবা ১০ ডিজিট যেকোন এনআইডি নম্বর ব্যবহার করে ফি জমা দিতে পারবেন।
বিদেশে বসবাসরত বাংলাদেশীদের এনআইডি বা ভোটার নিবন্ধনের জন্য করণীয় কি?,foreign_resident_card_registration_process,"যে সকল দেশে প্রবাসী বাংলাদেশীদের এনআইডি বা ভোটার নিবন্ধন কার্যক্রম চলমান রয়েছে, সেসকল দেশের ক্ষেত্রে ওয়েব পোর্টাল services.nidw.gov.bd/ ভিজিট করে রেজিস্টেশন পূর্বক নিবন্ধন ফর্ম পূরন করুন। অতঃপর উক্ত ফর্মের প্রিন্ট কপি, অনলাইন জন্ম সনদ, পাসপোর্ট এবং পাসপোর্ট সাইজের ছবি নিয়ে এপয়েনমেন্টের তারিখ অনুযায়ী বাংলাদেশ দূতাবাস/এম্বাসী অফিসে এসে বায়োমেট্রিক প্রদান করুন।"
প্রবাসে বসবাসকারীদের এনআইডি বা ভোটার নিবন্ধনের জন্য কি করতে হবে?,foreign_resident_card_registration_process,"যে সকল দেশে প্রবাসী বাংলাদেশীদের এনআইডি বা ভোটার নিবন্ধন কার্যক্রম চলমান রয়েছে, সেসকল দেশের ক্ষেত্রে ওয়েব পোর্টাল services.nidw.gov.bd/ ভিজিট করে রেজিস্টেশন পূর্বক নিবন্ধন ফর্ম পূরন করুন। অতঃপর উক্ত ফর্মের প্রিন্ট কপি, অনলাইন জন্ম সনদ, পাসপোর্ট এবং পাসপোর্ট সাইজের ছবি নিয়ে এপয়েনমেন্টের তারিখ অনুযায়ী বাংলাদেশ দূতাবাস/এম্বাসী অফিসে এসে বায়োমেট্রিক প্রদান করুন।"
এ পর্যন্ত কোন কোন দেশে ভোটার নিবন্ধনের অনুমতি দেওয়া হয়েছে।,foreign_resident_card_registration_query_country_limitation,"বর্তমানে সংযুক্ত আরব আমিরাত, সৌদি আরব, কাতার, মালয়েশিয়া, কুয়েত, যুক্তরাজ্য, ইতালি, অস্ট্রেলিয়া ও কানাডায় প্রবাসী বাংলাদেশীদের ভোটার নিবন্ধন ও এনআইডি বিতরণ কার্যক্রম চালু রয়েছে।"
কোন কোন দেশে প্রবাসী ভোটার নিবন্ধন করা হয়?,foreign_resident_card_registration_query_country_limitation,"বর্তমানে সংযুক্ত আরব আমিরাত, সৌদি আরব, কাতার, মালয়েশিয়া, কুয়েত, যুক্তরাজ্য, ইতালি, অস্ট্রেলিয়া ও কানাডায় প্রবাসী বাংলাদেশীদের ভোটার নিবন্ধন ও এনআইডি বিতরণ কার্যক্রম চালু রয়েছে।"
"আমি xxxxxxx দেশে আছি, এখানে কি ভোটার নিবন্ধন করা হয়?",foreign_resident_card_registration_query_country_limitation,"বর্তমানে সংযুক্ত আরব আমিরাত, সৌদি আরব, কাতার, মালয়েশিয়া, কুয়েত, যুক্তরাজ্য, ইতালি, অস্ট্রেলিয়া ও কানাডায় প্রবাসী বাংলাদেশীদের ভোটার নিবন্ধন ও এনআইডি বিতরণ কার্যক্রম চালু রয়েছে।"
কোন কোন দেশ থেকে এনআইডি বা ভোটার নিবন্ধন করা যায়?,foreign_resident_card_registration_query_country_limitation,"বর্তমানে সংযুক্ত আরব আমিরাত, সৌদি আরব, কাতার, মালয়েশিয়া, কুয়েত, যুক্তরাজ্য, ইতালি, অস্ট্রেলিয়া ও কানাডায় প্রবাসী বাংলাদেশীদের ভোটার নিবন্ধন ও এনআইডি বিতরণ কার্যক্রম চালু রয়েছে।"
দূতাবাসে ভোটার নিবন্ধন করতে হলে কি কি কাগজপত্র লাগে?,foreign_resident_card_registration_required_documents,"দূতাবাসে ভোটার নিবন্ধন করতে হলে পূরণকৃত ফরম (২ক) এর প্রিন্ট কপি, অনলাইন জন্ম সনদ, পাসপোর্ট এবং পাসপোর্ট সাইজের ছবি প্রয়োজন লাগবে।"
প্রবাসী ভোটার হতে হলে কি কি কাগজপত্র লাগে?,foreign_resident_card_registration_required_documents,"দূতাবাসে ভোটার নিবন্ধন করতে হলে পূরণকৃত ফরম (২ক) এর প্রিন্ট কপি, অনলাইন জন্ম সনদ, পাসপোর্ট এবং পাসপোর্ট সাইজের ছবি প্রয়োজন লাগবে।"
"আমি বাংলাদেশে ভোটার হয়েছিলাম, এখন কি প্রবাসেও ভোটার হতে হবে?",foreign_resident_multiple_registration_new,"আপনি বাংলাদেশে ছবিযুক্ত ভোটার তালিকায় অন্তর্ভূক্ত হয়ে থাকলে প্রবাসে নিবন্ধনের প্রয়োজন নেই। মনে রাখবেন, একাধিকবার নিবন্ধন করা আইনত দণ্ডনীয় অপরাধ।"
প্রবাসী এনআইডি বা ভোটার নিবন্ধনের জন্য এম্বাসী/দূতাবাসে আবেদন জমা দিয়ে এসেছি। বর্তমান অবস্থা কি?,nrb_application_status,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
আমার পাসপোর্টের মেয়াদ শেষ হয়ে গেছে। আমি কি প্রবাস থেকে এনআইডি বা ভোটার নিবন্ধনের আবেদন করতে পারবো?,foreign_resident_passport_expaired_card_registration_process,"দুঃখিত, নিবন্ধন প্রত্যাশি প্রবাসীর বৈধ বাংলাদেশী পাসপোর্ট থাকা জরুরী। অনুগ্রহপূর্বক আপনার পাসপোর্টের মেয়াদ বৃদ্ধির পদক্ষেপ গ্রহণ করুন।"
প্রবাসী এনআইডি বা ভোটার নিবন্ধনের জন্য এম্বাসী/দূতাবাসে আবেদন জমা দিয়ে এসেছি। বর্তমান অবস্থা কি?,nrb_application_status,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
আমার পাসপোর্টের মেয়াদ শেষ হয়ে গেছে। আমি কি প্রবাস থেকে এনআইডি বা ভোটার নিবন্ধনের আবেদন করতে পারবো?,foreign_resident_passport_expaired_card_registration_process,"দুঃখিত, নিবন্ধন প্রত্যাশি প্রবাসীর বৈধ বাংলাদেশী পাসপোর্ট থাকা জরুরী। অনুগ্রহপূর্বক আপনার পাসপোর্টের মেয়াদ বৃদ্ধির পদক্ষেপ গ্রহণ করুন।"
"এম্বাসী/দূতাবাসে বায়োমেট্রিক প্রদান করেছি, এখন কি করণীয়?",foreign_resident_action_after_biometrics_new,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
"প্রবাসে ছবি তুলেছিলাম, এম্বাসিতে যোগাযোগ করলে বলেছে উপজেলা থেকে তদন্ত পাঠায়নি। কি করণীয়?",foreign_resident_card_picture_done_not_inquery_from_upzilla_new,"আপনি নিজে অথবা আপনার প্রতিনিধি অথবা আপনার আত্মীয়ের মাধ্যমে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করতে হবে। যদি উপজেলা/থানা নির্বাচন অফিসার ইতোমধ্যে এ বিষয়ে সরেজমিন তদন্ত করে থাকেন, তাহলে তিনি প্রতিবেদন দাখিল করবেন।"
"প্রবাসে/ বিদেশে ছবি তুলেছিলাম, উপজেলা থেকে তদন্ত করে অনুমোদন করেছে, কিন্তু এখনও মেসেজ পাইনি।",foreign_resident_card_picture_done__inquery_done_no_msg_new,আপনার এই প্রশ্নের উত্তরটি জানতে ৯ বাটন চেপে কল সেন্টার প্রতিনিধির সঙ্গে সরাসরি কথা বলুন।
প্রবাসী এনআইডি বা ভোটার নিবন্ধনের জন্য এম্বাসী/দূতাবাসে আবেদন করেছি। স্মার্ট কার্ড কীভাবে পাবো?,foreign_resident_card_collection,প্রবাসী বাংলাদেশীদের নিবন্ধন সম্পন্ন হলে অনলাইন থেকে এনআইডি এর একটি pdf কপি ডাউনলোড করে ব্যবহার করতে পারবেন। দেশভিত্তিক স্মার্ট এনআইডি কার্ড মুদ্রণ পূর্বক সংশ্লিষ্ট দূতাবাসে প্রেরণের মাধ্যমে বিতরণ করা হয়ে থাকে।
প্রবাসী এনআইডি বা ভোটার নিবন্ধনের জন্য এম্বাসী/দূতাবাসে আবেদন করেছি। আবেদন Reject করে দিয়েছে। কেনো?,foreign_resident_card_registration_rejected,"কোন ব্যক্তি একাধিকবার ভোটার নিবন্ধনের চেষ্টা করলে আবেদন বাতিল হতে পারে। তবে অন্য কোন কারণে বাতিল হলে তা জানতে সংশ্লিষ্ট দূতাবাস অথবা এনআইডি উইং, নিবন্ধন ও প্রবাসী অধিশাখায় যোগাযোগ করুন।"
প্রবাসী এনআইডি বা ভোটার নিবন্ধনের জন্য এম্বাসী/দূতাবাসে আবেদন করেছি। এখনো Adjudication Pending অবস্থায় আছে। কি করণীয়?,foreign_resident_nid_adjudication_pending,আপনার বায়োমেট্রিকস যাচাইয়ের কার্যক্রম চলমান আছে। অনুগ্রহপূর্বক অপেক্ষা করুন। দীর্ঘদিন যাবত আবেদন পেন্ডিং থাকলে অনুগ্রহপূর্বক আপনার কোনো নিকটাত্মীয়ের মাধ্যমে বাংলাদেশে অবস্থিত উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করতে পারেন।
নতুন ভোটার হতে চাই?,wish_to_create_nid_smart_card_new,services.nidw.gov.bd এই ওয়েব পোর্টালে নতুন নিবন্ধন অপশনে গিয়ে রেজিষ্ট্রেশন করে লগইন করুন। এরপর নিবন্ধন ফরম পূরন করুন এবং এপয়েন্টমেন্ট অপশন থেকে এপয়েন্টমেন্ট নিন অথবা এসএমএস পাওয়া সাপেক্ষে প্রয়োজনীয় কাগজপত্রসহ সংশ্লিষ্ট থানা/উপজেলা নির্বাচন অফিসে গিয়ে ছবি ও বায়োমেট্রিক প্রদান করুন।
আমি জাতীয় পরিচয়পত্র করতে চাই?,wish_to_create_nid_smart_card_new,services.nidw.gov.bd এই ওয়েব পোর্টালে নতুন নিবন্ধন অপশনে গিয়ে রেজিষ্ট্রেশন করে লগইন করুন। এরপর নিবন্ধন ফরম পূরন করুন এবং এপয়েন্টমেন্ট অপশন থেকে এপয়েন্টমেন্ট নিন অথবা এসএমএস পাওয়া সাপেক্ষে প্রয়োজনীয় কাগজপত্রসহ সংশ্লিষ্ট থানা/উপজেলা নির্বাচন অফিসে গিয়ে ছবি ও বায়োমেট্রিক প্রদান করুন।
নতুন এনআইডি কার্ড করতে করণীয় কি?,wish_to_create_nid_smart_card_new,services.nidw.gov.bd এই ওয়েব পোর্টালে নতুন নিবন্ধন অপশনে গিয়ে রেজিষ্ট্রেশন করে লগইন করুন। এরপর নিবন্ধন ফরম পূরন করুন এবং এপয়েন্টমেন্ট অপশন থেকে এপয়েন্টমেন্ট নিন অথবা এসএমএস পাওয়া সাপেক্ষে প্রয়োজনীয় কাগজপত্রসহ সংশ্লিষ্ট থানা/উপজেলা নির্বাচন অফিসে গিয়ে ছবি ও বায়োমেট্রিক প্রদান করুন।
নতুন নিবন্ধনের জন্য কি কি ডকুমেন্ট জমা দিতে হয়?,new_voter_online_what_documents_to_submit,নিবন্ধনের জন্য অনলাইনে পূরণকৃত নিবন্ধন ফর্মের প্রিন্ট কপির সঙ্গে যেসব কাগজপত্র জমা দিতে হবেঃ (১) ১৭ ডিজিটের অনলাইন জন্মসনদের কপি। (২) জাতীয়তা/নাগরিকত্ব সনদের কপি। (৩) পিতা-মাতা ভাই-বোনের এনআইডির কপি। পিতা-মাতা মৃত হলে অনলাইন মৃত্যু সনদের কপি। (৪) বিবাহিত হলে স্বামী/ স্ত্রীর এনআইডির কপি। (৫) এসএসসি/দাখিল/সমমান অথবা অষ্টম শ্রেণি পাশের সনদের কপি (প্রযোজ্য ক্ষেত্রে)। (৬) ইউটিলিটি বিলের (বিদ্যুৎ/গ্যাস/পানি/চৌকিদারী ট্যাক্স রশিদ) ফটোকপি।
নতুন ভোটার হওয়ার জন্য কি কি কাগজ লাগে?,new_voter_online_what_documents_to_submit,নিবন্ধনের জন্য অনলাইনে পূরণকৃত নিবন্ধন ফর্মের প্রিন্ট কপির সঙ্গে যেসব কাগজপত্র জমা দিতে হবেঃ (১) ১৭ ডিজিটের অনলাইন জন্মসনদের কপি। (২) জাতীয়তা/নাগরিকত্ব সনদের কপি। (৩) পিতা-মাতা ভাই-বোনের এনআইডির কপি। পিতা-মাতা মৃত হলে অনলাইন মৃত্যু সনদের কপি। (৪) বিবাহিত হলে স্বামী/ স্ত্রীর এনআইডির কপি। (৫) এসএসসি/দাখিল/সমমান অথবা অষ্টম শ্রেণি পাশের সনদের কপি (প্রযোজ্য ক্ষেত্রে)। (৬) ইউটিলিটি বিলের (বিদ্যুৎ/গ্যাস/পানি/চৌকিদারী ট্যাক্স রশিদ) ফটোকপি।
ভোটার হওয়ার জন্য কোন কোন দলিল লাগে?,new_voter_online_what_documents_to_submit,নিবন্ধনের জন্য অনলাইনে পূরণকৃত নিবন্ধন ফর্মের প্রিন্ট কপির সঙ্গে যেসব কাগজপত্র জমা দিতে হবেঃ (১) ১৭ ডিজিটের অনলাইন জন্মসনদের কপি। (২) জাতীয়তা/নাগরিকত্ব সনদের কপি। (৩) পিতা-মাতা ভাই-বোনের এনআইডির কপি। পিতা-মাতা মৃত হলে অনলাইন মৃত্যু সনদের কপি। (৪) বিবাহিত হলে স্বামী/ স্ত্রীর এনআইডির কপি। (৫) এসএসসি/দাখিল/সমমান অথবা অষ্টম শ্রেণি পাশের সনদের কপি (প্রযোজ্য ক্ষেত্রে)। (৬) ইউটিলিটি বিলের (বিদ্যুৎ/গ্যাস/পানি/চৌকিদারী ট্যাক্স রশিদ) ফটোকপি।
জাতীয় পরিচয়পত্রের জন্য কোন কোন কাগজপত্র লাগবে?,new_voter_online_what_documents_to_submit,নিবন্ধনের জন্য অনলাইনে পূরণকৃত নিবন্ধন ফর্মের প্রিন্ট কপির সঙ্গে যেসব কাগজপত্র জমা দিতে হবেঃ (১) ১৭ ডিজিটের অনলাইন জন্মসনদের কপি। (২) জাতীয়তা/নাগরিকত্ব সনদের কপি। (৩) পিতা-মাতা ভাই-বোনের এনআইডির কপি। পিতা-মাতা মৃত হলে অনলাইন মৃত্যু সনদের কপি। (৪) বিবাহিত হলে স্বামী/ স্ত্রীর এনআইডির কপি। (৫) এসএসসি/দাখিল/সমমান অথবা অষ্টম শ্রেণি পাশের সনদের কপি (প্রযোজ্য ক্ষেত্রে)। (৬) ইউটিলিটি বিলের (বিদ্যুৎ/গ্যাস/পানি/চৌকিদারী ট্যাক্স রশিদ) ফটোকপি।
ভোটার হওয়ার পূর্ব শর্ত কি কি?,new_voter_pre_condition,"ভোটার হওয়ার পূর্ব শর্তগুলো হলো ক) জন্মসূত্রে বাংলাদেশের নাগরিক হতে হবে। খ) বয়স ১৮ বছর কম বয়স্ক নহেন। গ) কোন উপযুক্ত আদালত কর্তৃক অপ্রকৃতিস্থ বলিয়া ঘোষিত নহেন। (ঘ) উক্ত ভোটার এলাকা বা ক্ষেত্রমত নির্বাচনী এলাকার অধিবাসী বা অধিবাসী বলিয়া গণ্য হন। (ঙ) বাংলাদেশ Bangladesh Collaborators (Special Tribunals) order, 1972 (P.O. No. 8 of 1972) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন এবং (চ) International Crimes (Tribunals) Act, 1973 (Act No. XIX of 1973) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন।"
ভোটার হওয়ার জন্য কি কি শর্ত পূরণ করতে হয়?,new_voter_pre_condition,"ভোটার হওয়ার পূর্ব শর্তগুলো হলো ক) জন্মসূত্রে বাংলাদেশের নাগরিক হতে হবে। খ) বয়স ১৮ বছর কম বয়স্ক নহেন। গ) কোন উপযুক্ত আদালত কর্তৃক অপ্রকৃতিস্থ বলিয়া ঘোষিত নহেন। (ঘ) উক্ত ভোটার এলাকা বা ক্ষেত্রমত নির্বাচনী এলাকার অধিবাসী বা অধিবাসী বলিয়া গণ্য হন। (ঙ) বাংলাদেশ Bangladesh Collaborators (Special Tribunals) order, 1972 (P.O. No. 8 of 1972) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন এবং (চ) International Crimes (Tribunals) Act, 1973 (Act No. XIX of 1973) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন।"
এনআইডি নিবন্ধনের পূর্ব শর্ত কি কি?,new_voter_pre_condition,"ভোটার হওয়ার পূর্ব শর্তগুলো হলো ক) জন্মসূত্রে বাংলাদেশের নাগরিক হতে হবে। খ) বয়স ১৮ বছর কম বয়স্ক নহেন। গ) কোন উপযুক্ত আদালত কর্তৃক অপ্রকৃতিস্থ বলিয়া ঘোষিত নহেন। (ঘ) উক্ত ভোটার এলাকা বা ক্ষেত্রমত নির্বাচনী এলাকার অধিবাসী বা অধিবাসী বলিয়া গণ্য হন। (ঙ) বাংলাদেশ Bangladesh Collaborators (Special Tribunals) order, 1972 (P.O. No. 8 of 1972) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন এবং (চ) International Crimes (Tribunals) Act, 1973 (Act No. XIX of 1973) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন।"
একজন নাগরিক কোন কোন শর্তে এনআইডি করতে পারে?,new_voter_pre_condition,"ভোটার হওয়ার পূর্ব শর্তগুলো হলো ক) জন্মসূত্রে বাংলাদেশের নাগরিক হতে হবে। খ) বয়স ১৮ বছর কম বয়স্ক নহেন। গ) কোন উপযুক্ত আদালত কর্তৃক অপ্রকৃতিস্থ বলিয়া ঘোষিত নহেন। (ঘ) উক্ত ভোটার এলাকা বা ক্ষেত্রমত নির্বাচনী এলাকার অধিবাসী বা অধিবাসী বলিয়া গণ্য হন। (ঙ) বাংলাদেশ Bangladesh Collaborators (Special Tribunals) order, 1972 (P.O. No. 8 of 1972) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন এবং (চ) International Crimes (Tribunals) Act, 1973 (Act No. XIX of 1973) এর অধীন কোন অপরাধে দণ্ডিত না হইয়া থাকেন।"
ভোটার তালিকায় নিবন্ধনের জন্য কত বয়স হতে হয়?,new_nid_card_age,ভোটার হওয়ার জন্য বয়স ১৮ বছর বা তদুর্দ্ধ হতে হয়।
নতুন এনআইডি নিবন্ধনের জন্য বয়স কত হতে হয়?,nid_registration_age,যাদের জন্ম তারিখ ১ জানুয়ারি ২০০৮ বা তার পূর্বে তারা এনআইডি নিবন্ধনের জন্য আবেদন করতে পারবে।
Underaged হিসেবে এনআইডি কার্ডধারী ব্যক্তি কখন ভোটার হয়ে থাকেন?,underaged_card_holder_to_voter,যে কোন বছরের পহেলা জানুয়ারি ১৮ বছর পূর্ণ হবার সাথে সাথে এনআইডি কার্ডধারী ব্যক্তি ভোটার তালিকার অন্তর্ভুক্ত হয়ে থাকেন।
"নতুন ভোটার হয়েছি, এনআইডি কার্ড পাবো কিভাবে?",new_voter_how_to_get_card,services.nidw.gov.bd এই ওয়েব পোর্টালে প্রবেশ করে নিম্নোক্ত ধাপগুলো অনুসরণ করুন- (১) রেজিস্টার করুন অপশন থেকে নতুন একটি একাউন্ট করুন। (২) লগইন করুন। (৩) ডাউনলোড অপশন থেকে আপনার কাঙ্খিত এনআইডি কার্ডের পিডিএফ ডাউনলোড করুন।
"নতুন ভোটার হয়েছি, স্মার্ট কার্ড পাবো কিভাবে?",new_voter_smart_card_how_to_get,প্রথমে services.nidw.gov.bd/nid-pub/card-status/ এই ওয়েব পোর্টাল থেকে খোঁজ নিন আপনার স্মার্ট কার্ডটি মূদ্রিত হয়েছে কি না। কার্ডটি মুদ্রিত হয়ে থাকলে সংশ্লিষ্ট উপজেলা বা থানা নির্বাচন অফিস থেকে স্মার্ট কার্ডটি সংগ্রহ করুন।
"অনেক দিন হয়ে গেল কোন মেসেজ পাচ্ছি না, করণীয় কি?",new_voter_no_messages_from_upzila_or_thana,নিবন্ধন ফর্ম ও অন্যান্য সকল ডকুমেন্টস সহ সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করুন।
"নতুন ভোটার হওয়ার জন্য অনলাইনে আবেদন করেছি, ডাউনলোড করা ফরম কোথায় জমা দিবো?",new_voter_registered_where_To_submit_the_downloaded_form,সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করুন।
"অনলাইনে ভোটার হওয়ার জন্য আবেদন করেছি, এখন কি কি দলিল নিয়ে উপজেলা নির্বাচন অফিসে যাব?",new_voter_apply_online_what_documents_needed,নিবন্ধনের জন্য অনলাইনে পূরণকৃত নিবন্ধন ফর্মের প্রিন্ট কপির সঙ্গে যেসব কাগজপত্র জমা দিতে হবেঃ (১) ১৭ ডিজিটের অনলাইন জন্মসনদের কপি। (২) জাতীয়তা/নাগরিকত্ব সনদের কপি। (৩) পিতা-মাতা ভাই-বোনের এনআইডির কপি। পিতা-মাতা মৃত হলে অনলাইন মৃত্যু সনদের কপি। (৪) বিবাহিত হলে স্বামী/ স্ত্রীর এনআইডির কপি। (৫) এসএসসি/দাখিল/সমমান অথবা অষ্টম শ্রেণি পাশের সনদের কপি (প্রযোজ্য ক্ষেত্রে)। (৬) ইউটিলিটি বিলের (বিদ্যুৎ/গ্যাস/পানি/চৌকিদারী ট্যাক্স রশিদ) ফটোকপি।
